brand,os,storage,ram,Camera,battery,screen,price,usage,link
iPhone 15 128GB,ios,none,6,good,none,none,31960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-128-gb-akilli-telefon-siyah-mtp03tua-1232435.html
iPhone 15 256GB,ios,good,6,good,none,none,33960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-128-gb-akilli-telefon-siyah-mtp03tua-1232435.html
iPhone 15 512GB,ios,good,6,good,none,none,37960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-128-gb-akilli-telefon-siyah-mtp03tua-1232435.html
iPhone 15 Plus 128GB,ios,none,6,good,good,good,35960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-plus-128-gb-akilli-telefon-mavi-mu163tua-1232446.html
iPhone 15 Plus 256GB,ios,good,6,good,good,good,39960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-plus-256-gb-akilli-telefon-mavi-mu1f3tua-1232451.html
iPhone 15 Plus 512GB,ios,good,6,good,good,good,41960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-plus-512-gb-akilli-telefon-mavi-mu1p3tua-1232465.html
iPhone 15 Pro 128GB,ios,none,6,good,good,none,43960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-128-gb-akilli-telefon-mavi-titanium-mtv03tua-1232461.html
iPhone 15 Pro 256GB,ios,good,8,good,good,none,47960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-256-gb-akilli-telefon-mavi-titanium-mtv63tua-1232469.html
iPhone 15 Pro 512GB,ios,good,8,good,good,none,51960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-512-gb-akilli-telefon-mavi-titanium-mtva3tua-1232473.html
iPhone 15 Pro Max 128GB,ios,none,6,good,good,good,47960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-max-256-gb-akilli-telefon-siyah-titanium-mu773tua-1232476.html
iPhone 15 Pro Max 256GB,ios,good,8,good,good,good,51960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-max-256-gb-akilli-telefon-siyah-titanium-mu773tua-1232476.html
iPhone 15 Pro Max 512GB,ios,good,8,good,good,good,55960.0,camera,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-15-pro-max-512-gb-akilli-telefon-siyah-titanium-mu7c3tua-1232484.html
iPhone 14 128GB,ios,none,6,none,none,none,31960.0,none,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-128gb-akilli-telefon-starlight-mpur3tua-1223357.html
iPhone 14 256GB,ios,good,6,none,none,none,33960.0,none,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-256gb-akilli-telefon-starlight-mpw43tua-1223362.html
iPhone 14 512GB,ios,good,6,none,none,none,37960.0,none,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-512gb-akilli-telefon-starlight-mpx33tua-1223367.html
iPhone 14 Plus 128GB,ios,none,6,none,good,good,35960.0,none,https://www.mediamarkt.com.tr/tr/product/_apple-iphone-14-plus-128gb-akilli-telefon-starlight-mq4y3tua-1223372.html
